id,type,name,sot,in_module,service,evidence_primary,discovered_in_wave
vrule:user-first-last-name-letters-only,ValidationRule,V-user-first-last-name-letters-only (SUPERSEDED),prd,mod:user-mgmt,,Brain SK/_obsidian/30-Validation/V-user-first-last-name-letters-only.md,1
vrule:username-format-uniqueness-immutable,ValidationRule,V-username-format-uniqueness-immutable (SUPERSEDED),prd,mod:user-mgmt,,Brain SK/_obsidian/30-Validation/V-username-format-uniqueness-immutable.md,1
vrule:text-field-no-edge-or-internal-whitespace,ValidationRule,V-text-field-no-edge-or-internal-whitespace (SUPERSEDED w/o replacement),wave-d-rollback,,,Brain SK/_obsidian/30-Validation/V-text-field-no-edge-or-internal-whitespace.md,1
vrule:account-limits-zero-means-no-limit,ValidationRule,V-account-limits-zero-means-no-limit,prd,,,Brain SK/_obsidian/30-Validation/V-account-limits-zero-means-no-limit.md,1
vrule:service-visibility-pricing-required,ValidationRule,V-service-visibility-pricing-required,prd,,,Brain SK/_obsidian/30-Validation/V-service-visibility-pricing-required.md,1
vrule:template-levels-count-required-for-restricted,ValidationRule,V-template-levels-count-required-for-restricted,prd,mod:templates,,Brain SK/_obsidian/30-Validation/V-template-levels-count-required-for-restricted.md,1
vrule:template-checker-level-integrity,ValidationRule,V-template-checker-level-integrity,prd,mod:templates,,Brain SK/_obsidian/30-Validation/V-template-checker-level-integrity.md,1
vrule:password-security-level-enum,ValidationRule,V-password-security-level-enum,prd,mod:user-mgmt,,Brain SK/_obsidian/30-Validation/V-password-security-level-enum.md,1
vrule:password-complexity-per-security-level,ValidationRule,V-password-complexity-per-security-level,prd,mod:user-mgmt,,Brain SK/_obsidian/30-Validation/V-password-complexity-per-security-level.md,1
vrule:normal-user-limit-enforcement,ValidationRule,V-normal-user-limit-enforcement,prd,mod:user-mgmt,,Brain SK/_obsidian/30-Validation/V-normal-user-limit-enforcement.md,1
vrule:login-lockout-3-wrong-attempts,ValidationRule,V-login-lockout-3-wrong-attempts,prd,mod:root-documents,,Brain SK/_obsidian/30-Validation/V-login-lockout-3-wrong-attempts.md,1
vrule:contract-rate-per-unit-non-negative,ValidationRule,V-contract-rate-per-unit-non-negative,prd,mod:contract-charging-billing,,Brain SK/_obsidian/30-Validation/V-contract-rate-per-unit-non-negative.md,1
vrule:contract-expiration-after-start,ValidationRule,V-contract-expiration-after-start,prd,mod:contract-charging-billing,,Brain SK/_obsidian/30-Validation/V-contract-expiration-after-start.md,1
vrule:contract-edit-status-aware-fields,ValidationRule,V-contract-edit-status-aware-fields,prd,mod:contract-charging-billing,,Brain SK/_obsidian/30-Validation/V-contract-edit-status-aware-fields.md,1
vrule:contract-currency-enum,ValidationRule,V-contract-currency-enum,prd,mod:contract-charging-billing,,Brain SK/_obsidian/30-Validation/V-contract-currency-enum.md,1
vrule:contract-committed-value-positive,ValidationRule,V-contract-committed-value-positive,prd,mod:contract-charging-billing,,Brain SK/_obsidian/30-Validation/V-contract-committed-value-positive.md,1
vrule:contact-group-share-policy-mode-mutex,ValidationRule,V-contact-group-share-policy-mode-mutex,prd,mod:contact-group-mgmt,,Brain SK/_obsidian/30-Validation/V-contact-group-share-policy-mode-mutex.md,1
vrule:contact-group-name-required-format,ValidationRule,V-contact-group-name-required-format,prd,mod:contact-group-mgmt,,Brain SK/_obsidian/30-Validation/V-contact-group-name-required-format.md,1
vrule:contact-group-file-type-allowlist,ValidationRule,V-contact-group-file-type-allowlist,prd,mod:contact-group-mgmt,,Brain SK/_obsidian/30-Validation/V-contact-group-file-type-allowlist.md,1
vrule:contact-group-file-size-cap,ValidationRule,V-contact-group-file-size-cap,prd,mod:contact-group-mgmt,,Brain SK/_obsidian/30-Validation/V-contact-group-file-size-cap.md,1
vrule:contact-group-column-name-shape,ValidationRule,V-contact-group-column-name-shape,prd,mod:contact-group-mgmt,,Brain SK/_obsidian/30-Validation/V-contact-group-column-name-shape.md,1
vrule:charging-transfer-source-destination,ValidationRule,V-charging-transfer-source-destination,prd,mod:contract-charging-billing,svc:charging,Brain SK/_obsidian/30-Validation/V-charging-transfer-source-destination.md,1
vrule:charging-no-applicable-rate,ValidationRule,V-charging-no-applicable-rate,prd,mod:contract-charging-billing,svc:charging,Brain SK/_obsidian/30-Validation/V-charging-no-applicable-rate.md,1
vrule:charging-insufficient-balance,ValidationRule,V-charging-insufficient-balance,prd,mod:contract-charging-billing,svc:charging,Brain SK/_obsidian/30-Validation/V-charging-insufficient-balance.md,1
vrule:account-ip-allowlist-enforcement,ValidationRule,V-account-ip-allowlist-enforcement,prd,mod:account-mgmt,,Brain SK/_obsidian/30-Validation/V-account-ip-allowlist-enforcement.md,1
dto:account,DTO,E-account,,mod:account-mgmt,svc:commerce,Brain SK/_obsidian/40-API/E-account.md,1
dto:account-settings,DTO,E-account-settings,,mod:account-mgmt,svc:commerce,Brain SK/_obsidian/40-API/E-account-settings.md,1
dto:addon,DTO,E-addon,,mod:contract-charging-billing,svc:commerce,Brain SK/_obsidian/40-API/E-addon.md,1
dto:app-config,DTO,E-app-config,,,svc:commerce,Brain SK/_obsidian/40-API/E-app-config.md,1
dto:audit-event,DTO,E-audit-event,,,,Brain SK/_obsidian/40-API/E-audit-event.md,1
dto:contract,DTO,E-contract,,mod:contract-charging-billing,svc:commerce,Brain SK/_obsidian/40-API/E-contract.md,1
dto:cluster:e-entities-20-more,DTO,E-* (20 more — cluster placeholder),,,,Brain SK/_obsidian/40-API/,1
evt:charging-ocs-wallet-events,KafkaEvent,Charging OCS Wallet Events,,,svc:charging,Brain SK/_obsidian/47-Events/Charging OCS Wallet Events.md,1
evt:charging-order-payment-processed,KafkaEvent,Charging Order Payment Processed,,,svc:charging,Brain SK/_obsidian/47-Events/Charging Order Payment Processed.md,1
evt:commerce-comm-channel-init,KafkaEvent,Commerce Comm-Channel Init,,,svc:commerce,Brain SK/_obsidian/47-Events/Commerce Comm-Channel Init.md,1
evt:commerce-comm-channel-shown,KafkaEvent,Commerce Comm-Channel Shown,,,svc:commerce,Brain SK/_obsidian/47-Events/Commerce Comm-Channel Shown.md,1
evt:commerce-comm-channel-visibility-changed,KafkaEvent,Commerce Comm-Channel Visibility Changed,,,svc:commerce,Brain SK/_obsidian/47-Events/Commerce Comm-Channel Visibility Changed.md,1
evt:cluster:remaining-16,KafkaEvent,Kafka events (16 more — cluster placeholder),,,,Brain SK/_obsidian/47-Events/,1
thememode:light,ThemeMode,Light theme,,,,[MEMORY] project_dark_mode_phase_b_theme_service_2026_05_17,1
thememode:dark,ThemeMode,Dark theme,,,,[MEMORY] project_dark_mode_phase_e_migration_2026_05_17,1
pesrule:cluster:47-keys,PESRule,PES key cluster (47 keys — cluster placeholder),,,,Brain Outputs/datasets/authority-dataset/03-pes-keys/REGISTRY-RAW.md,1
pesrule:built-in-role-catalog,PESRule,BuiltInRoleCatalog (6 canonical roles),,,,[CODE] BuiltInRoleCatalog.cs:79-290,1
arch:cluster:24-rules-8-adrs,ArchitectureRule,Architecture rules cluster (24 inc. 8 ADRs — cluster placeholder),,,,Brain SK/_obsidian/35-Architecture/,1
br-cluster:am,BusinessRule,BR-AM-* cluster (42 rules),,mod:account-mgmt,,Brain Outputs/prd/modules/01-account-management/BUSINESS_RULES.md,1
br-cluster:um,BusinessRule,BR-UM-* cluster (50 rules),,mod:user-mgmt,,Brain Outputs/prd/modules/02-user-management/BUSINESS_RULES.md,1
br-cluster:cc,BusinessRule,BR-CC-* cluster (50 rules),,mod:contract-charging-billing,,Brain Outputs/prd/modules/03-contract-packaging-charging-billing-management/BUSINESS_RULES.md,1
br-cluster:cgm,BusinessRule,BR-CGM-* cluster (38 rules),,mod:contact-group-mgmt,,Brain Outputs/prd/modules/04-contact-group-management/BUSINESS_RULES.md,1
comp:cluster:63-components,Component,Component cluster (63 Falcon UI Core — cluster placeholder),,,,Brain Outputs/understanding/frontend/components/,1
moc:cluster:76-mocs,MOC,MOC cluster (76 — 46 falcon-wiki + 30 Brain SK — cluster placeholder),,,,falcon-wiki/00-MOCs/ + Brain SK/_obsidian/*INDEX*.md,1
scan:bootstrap-health,ScanMetadata,bootstrap-health.json,,,,Brain Outputs/scan-metadata/bootstrap-health.json,1
